,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr
Li1Hf1N1Cl1,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1.843Ba0.157Cu1O4,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157,1.843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1Fe2As1.18P0.82,,,,,,,,,,,,,,,0.82,,,,,,,,,,,2.0,,,,,,,1.18,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1.85Sr0.016Ca0.074Ba0.06Cu1O4.01,,,,,,,,4.01,,,,,,,,,,,,0.074,,,,,,,,,1.0,,,,,,,,,0.016,,,,,,,,,,,,,,,,,,0.06,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1Fe1As1F0.13O0.87,,,,,,,,0.87,0.13,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La0.85Sr0.15Fe1As1O1,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,0.15,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y0.6Pr0.4Ba2Cu3O6.66,,,,,,,,6.66,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,2.0,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rb2K1C60,,,,,,60.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1Fe0.95Zn0.05As1F0.1O0.9,,,,,,,,0.9,0.1,,,,,,,,,,,,,,,,,0.95,,,,0.05,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1Fe0.8Zn0.2As1F0.15O0.85,,,,,,,,0.85,0.15,,,,,,,,,,,,,,,,,0.8,,,,0.2,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ru0.99Co0.01Sr2Gd1Cu2O8,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,0.01,,2.0,,,,,,,,,2.0,,,,,,0.99,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1.8Sr0.2Cu0.995Fe0.005O4,,,,,,,,4.0,,,,,,,,,,,,,,,,,,0.005,,,0.995,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1.9Pr0.1Ca0.2Ba2Cu4.2O9.8786,,,,,,,,9.8786,,,,,,,,,,,,0.2,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.9,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1.823Ba0.177Cu1O4,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177,1.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La0.89Sr0.11Fe1As1O1,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,0.11,,,,,,,,,,,,,,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1.76Nd0.125Sr0.115Cu1O4,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.115,,,,,,,,,,,,,,,,,,,1.76,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba0.553K0.447Bi1O3,,,,,,,,3.0,,,,,,,,,,,0.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.553,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Rb0.8Fe2Se1.7Te0.3,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.7,,,0.8,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li0.48C1.6H3.2O0.4Hf1N1Cl1,3.2,,0.48,,,1.6,1.0,0.4,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mg1B1.792C0.208,,,,,1.792,0.208,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1Fe0.98Zn0.02As1F0.1O0.9,,,,,,,,0.9,0.1,,,,,,,,,,,,,,,,,0.98,,,,0.02,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba0.57K0.43Bi1O2.983,,,,,,,,2.983,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Ba0.64K0.36Fe2As2,,,,,,,,,,,,,,,,,,,0.36,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La0.9Y0.1Fe1As1O0.6,,,,,,,,0.6,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,0.1,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1Fe0.97Ru0.03As1F0.11O0.89,,,,,,,,0.89,0.11,,,,,,,,,,,,,,,,,0.97,,,,,,,1.0,,,,,,,,,,,0.03,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sm0.8Pr0.2Ba2Cu3O6.7,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.2,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mg0.854Au0.146B2,,,,,2.0,,,,,,,0.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146,,,,,,,,,,,,,,,,,,,,,,,,
Mg0.55Al0.225Li0.225B2,,,0.225,,2.0,,,,,,,0.55,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1.8Nd0.2Cu1O4.093,,,,,,,,4.093,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1La2Ba3Cu6O14.53,,,,,,,,14.53,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1Fe1As0.8P0.2F0.05O0.95,,,,,,,,0.95,0.05,,,,,,0.2,,,,,,,,,,,1.0,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eu2.17Ce0.5Sr1.33Cu2.5Fe0.5O9.23,,,,,,,,9.23,,,,,,,,,,,,,,,,,,0.5,,,2.5,,,,,,,,,1.33,,,,,,,,,,,,,,,,,,,,0.5,,,,,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1.95Bi0.05Cu1O4.075,,,,,,,,4.075,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,
Mg0.815Al0.18B2,,,,,2.0,,,,,,,0.815,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1Fe1As1O0.85,,,,,,,,0.85,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y0.8Ca0.2Ba2Cu3O6.32,,,,,,,,6.32,,,,,,,,,,,,0.2,,,,,,,,,3.0,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1Fe1.82Ru0.18As2,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,,,,,,,2.0,,,,,,,,,,,0.18,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr1.9Ca0.1V1Fe1As1O3,,,,,,,,3.0,,,,,,,,,,,,0.1,,,1.0,,,1.0,,,,,,,1.0,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba0.5K0.5Fe1.96Mn0.04As2,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.04,1.96,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba0.525K0.475Bi1O2.917,,,,,,,,2.917,,,,,,,,,,,0.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.525,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
La1Fe1As1F0.08O0.9,,,,,,,,0.9,0.08,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y0.5Pr0.5Ba2Cu3O7,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,2.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba0.76K0.24Fe2As2,,,,,,,,,,,,,,,,,,,0.24,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1.985Sr0.015Cu1O4.032,,,,,,,,4.032,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,1.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1.765Nd0.125Sr0.11Cu1O4,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,1.765,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1.775Nd0.125Sr0.1Cu1O4,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,1.775,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tl1.75Ba2Cu1.2O5.98,,,,,,,,5.98,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,
Eu1Fe2As1.46P0.54,,,,,,,,,,,,,,,0.54,,,,,,,,,,,2.0,,,,,,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca0.82Pr0.18Fe1As1.98Sb0.02,,,,,,,,,,,,,,,,,,,,0.82,,,,,,1.0,,,,,,,1.98,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li0.5Hf1N1Cl1,,,0.5,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca7.62La2.38Pt3Fe10As18,,,,,,,,,,,,,,,,,,,,7.62,,,,,,10.0,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,2.38,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Y1Ba2Cu2.68Fe0.32O6.999,,,,,,,,6.999,,,,,,,,,,,,,,,,,,0.32,,,2.68,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ru0.92Ce0.58Sr1.7Eu1.8Cu2O10,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.7,,,,,,0.92,,,,,,,,,,,,,,0.58,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na0.86Fe1As1,,,,,,,,,,,0.86,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1Sr2Cu2.7W0.3O6.9,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba1Cs1Fe4As4,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sm1La0.8Sr0.2Cu1O3.945,,,,,,,,3.945,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,0.8,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mo1Sr2Y0.8Ca0.2Cu2O8,,,,,,,,8.0,,,,,,,,,,,,0.2,,,,,,,,,2.0,,,,,,,,,2.0,0.8,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe2As2Sr4Mg0.8Ti1.2O6,,,,,,,,6.0,,,,0.8,,,,,,,,,,1.2,,,,2.0,,,,,,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La2.6Ba3.4Cu6O14.06,,,,,,,,14.06,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi1.95Sr1.85Nd0.2Cu1O4,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.85,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,
Y1Ba2Cu3O6.409,,,,,,,,6.409,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La0.6Ca0.1Pr0.3Ba1.5Sr0.5Cu3O6.872,,,,,,,,6.872,,,,,,,,,,,,0.1,,,,,,,,,3.0,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,1.5,0.6,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1Ba2Cu2.94Li0.06O6.6,,,0.06,,,,,6.6,,,,,,,,,,,,,,,,,,,,,2.94,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0.55La1.8Sr0.2Cu0.995Fe0.005O4,0.55,,,,,,,4.0,,,,,,,,,,,,,,,,,,0.005,,,0.995,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1.35Ca0.15Nd0.5Cu1O4,,,,,,,,4.0,,,,,,,,,,,,0.15,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1F0.05Fe1As1O0.95,,,,,,,,0.95,0.05,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1Fe1As0.8P0.2F0.1O0.9,,,,,,,,0.9,0.1,,,,,,0.2,,,,,,,,,,,1.0,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y0.6Pr0.4Ba2Cu3O6.61,,,,,,,,6.61,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,2.0,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tl1Sr0.4Ca0.6La1Cu1O5,,,,,,,,5.0,,,,,,,,,,,,0.6,,,,,,,,,1.0,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Y1Sr2Cu2.7Ti0.3O6.7,,,,,,,,6.7,,,,,,,,,,,,,,0.3,,,,,,,2.7,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1.903Ba0.097Cu1O4,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.097,1.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nd0.75Pr0.25Ba1Ca1Cu3O7,,,,,,,,7.0,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eu0.7Ca0.3Ba2Cu3O6.13,,,,,,,,6.13,,,,,,,,,,,,0.3,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr1.5Ba0.5Y1Cu2.8Mo0.2O7.03,,,,,,,,7.03,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,1.5,1.0,,,0.2,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi1Pb1Sr1.26La0.26Cu1O6,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.26,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Sm0.8Pr0.2Ba2Cu3O6.85,,,,,,,,6.85,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.2,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pr0.89La1Ce0.11Cu1O3.98,,,,,,,,3.98,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.11,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1.845Ba0.155Cu1O4,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155,1.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gd1Sr2Ru0.95Cu2.05O8,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,2.05,,,,,,,,,2.0,,,,,,0.95,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1.85Sr0.15Cu0.96Ti0.04O4,,,,,,,,4.0,,,,,,,,,,,,,,0.04,,,,,,,0.96,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bi1.8Pb0.2Sr2Ca1Cu1.84Fe0.16O8,,,,,,,,8.0,,,,,,,,,,,,1.0,,,,,,0.16,,,1.84,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1.8,,,,,,,,,,,,,,,,,,,,
Ca8.55La1.45Pt3Fe10As18,,,,,,,,,,,,,,,,,,,,8.55,,,,,,10.0,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
La0.8Y0.2Fe0.995Mn0.005As1F0.11O0.89,,,,,,,,0.89,0.11,,,,,,,,,,,,,,,,0.005,0.995,,,,,,,1.0,,,,,,0.2,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1Ba2Cu2.95Fe0.05O6.6,,,,,,,,6.6,,,,,,,,,,,,,,,,,,0.05,,,2.95,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y0.5Pr0.5Sr2Cu2.85Re0.15O7,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,2.85,,,,,,,,,2.0,0.5,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1.825Ba0.175Cu1O4,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,1.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sm1.35Ba1.65Cu3O7.07,,,,,,,,7.07,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca9.29Sm0.71Pt3Fe10As18,,,,,,,,,,,,,,,,,,,,9.29,,,,,,10.0,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Sr2Mg0.5Ti0.5Fe0.95Co0.05As1O3,,,,,,,,3.0,,,,0.5,,,,,,,,,,0.5,,,,0.95,0.05,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tl0.4K0.3Fe2Se2,,,,,,,,,,,,,,,,,,,0.3,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,
La1.85Sr0.15Cu0.993Fe0.007O4,,,,,,,,4.0,,,,,,,,,,,,,,,,,,0.007,,,0.993,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rb0.8Fe2Se1.9Te0.1,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.9,,,0.8,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1.895Sr0.105Cu1O4,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.105,,,,,,,,,,,,,,,,,,,1.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1.73Nd0.12Sr0.15Cu1O4,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,1.73,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1.8Nd0.2Cu1O4.04,,,,,,,,4.04,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La1Fe1As1F0.11O0.89,,,,,,,,0.89,0.11,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
